date,desk_id,product_id,quantity,amount
2023-04-02,4,102,21,93.69
2023-04-02,4,101,27,67.92
2023-04-02,3,103,6,86.03
2023-04-02,2,102,40,84.92
2023-04-02,2,102,3,79.43
2023-04-02,1,101,11,60.13
2023-04-02,3,103,27,57.83
2023-04-02,4,102,25,65.84
2023-04-02,3,102,27,90.43
2023-04-02,4,103,50,87.69
2023-04-02,3,103,28,60.8
2023-04-02,1,102,41,99.19
2023-04-02,1,102,37,98.84
2023-04-02,1,102,15,68.61
2023-04-02,2,103,24,63.26
2023-04-02,1,101,14,96.7
2023-04-02,4,101,36,88.25
2023-04-02,3,103,20,86.89
2023-04-02,5,101,33,60.85
2023-04-02,3,102,26,52.79
2023-04-02,5,101,14,73.54
2023-04-02,4,101,22,92.26
2023-04-02,1,101,8,62.35
2023-04-02,4,101,2,62.35
2023-04-02,3,101,44,81.55
2023-04-02,3,101,25,68.7
2023-04-02,4,103,42,100.75
2023-04-02,3,103,6,84.64
2023-04-02,1,102,5,83.09
2023-04-02,4,102,40,57.12
2023-04-02,4,102,37,71.56
2023-04-02,3,103,26,80.09
2023-04-02,5,101,8,71.55
2023-04-02,3,103,47,67.09
2023-04-02,1,102,22,61.98
2023-04-02,3,101,25,80.55
2023-04-02,1,103,37,72.64
2023-04-02,1,103,27,86.4
2023-04-02,3,102,43,92.35
2023-04-02,1,103,15,84.72
2023-04-02,1,102,49,65.44
2023-04-02,4,101,4,74.28
2023-04-02,1,103,35,56.32
2023-04-02,4,103,35,97.99
2023-04-02,4,103,25,57.62
2023-04-02,4,102,48,82.8
2023-04-02,1,103,22,95.67
2023-04-02,1,101,1,59.66
2023-04-02,2,101,43,94.47
2023-04-02,5,102,8,95.41
2023-04-02,4,101,34,57.03
2023-04-02,4,101,48,76.31
2023-04-02,1,102,44,62.83
2023-04-02,5,101,21,68.68
2023-04-02,1,103,37,71.92
2023-04-02,1,101,27,82.71
2023-04-02,3,102,47,64.95
2023-04-02,2,102,15,52.33
2023-04-02,3,103,35,54.54
2023-04-02,5,101,30,71.38
2023-04-02,4,101,32,95.98
2023-04-02,3,103,8,54.81
2023-04-02,2,101,33,78.89
2023-04-02,5,101,36,78.75
2023-04-02,2,102,35,53.59
2023-04-02,2,102,40,77.42
2023-04-02,5,101,3,53.97
2023-04-02,1,102,9,59.67
2023-04-02,2,103,47,91.09
2023-04-02,4,101,36,57.7
2023-04-02,3,101,10,53.84
2023-04-02,2,101,10,90.41
2023-04-02,1,101,15,52.52
2023-04-02,1,102,3,95.12
2023-04-02,1,101,5,94.13
2023-04-02,5,101,11,91.36
2023-04-02,5,103,1,63.92
2023-04-02,5,103,19,75.22
2023-04-02,2,102,35,88.68
2023-04-02,3,101,40,51.8
2023-04-02,3,102,50,78.09
2023-04-02,5,103,41,50.6
2023-04-02,4,102,38,100.99
2023-04-02,5,102,39,65.59
2023-04-02,2,102,46,82.38
2023-04-02,1,103,5,71.87
2023-04-02,3,101,20,93.37
2023-04-02,1,102,32,71.35
2023-04-02,3,101,44,100.91
2023-04-02,3,103,5,63.46
2023-04-02,1,101,40,57.49
2023-04-02,1,102,40,73.05
2023-04-02,4,102,9,85.87
2023-04-02,1,101,15,70.07
2023-04-02,1,103,29,59.17
2023-04-02,4,103,21,63.76
2023-04-02,3,102,5,98.98
2023-04-02,2,102,21,96.5
2023-04-02,5,102,47,81.33
2023-04-02,4,103,37,50.78
2023-04-02,3,101,50,95.88
2023-04-02,3,102,15,70.44
2023-04-02,5,103,22,68.81
2023-04-02,5,101,29,88.02
2023-04-02,1,102,45,53.53
2023-04-02,4,102,10,84.24
2023-04-02,4,102,34,54.21
2023-04-02,5,102,34,75.81
2023-04-02,3,103,15,78.28
2023-04-02,4,102,45,52.19
2023-04-02,2,103,32,74.52
2023-04-02,5,102,30,71.66
2023-04-02,4,102,41,51.51
2023-04-02,3,102,48,56.55
2023-04-02,4,102,16,60.11
2023-04-02,1,103,8,65.52
2023-04-02,5,103,8,68.48
2023-04-02,1,103,8,91.94
2023-04-02,3,102,21,59.5
2023-04-02,5,102,46,91.31
2023-04-02,1,103,49,100.73
