Trade_Date,Desk_id,Product_id,Buy/Sell,"Quantity "
2022-01-03,2,113,Buy,30
2022-01-03,3,111,Sell,23
2022-01-03,4,112,Buy,30
2022-01-03,1,114,Buy,22
2022-01-03,5,112,Sell,15
2022-01-03,3,111,Buy,19
2022-01-03,1,114,Buy,17
2022-01-03,4,113,Buy,30
2022-01-03,4,111,Buy,23
2022-01-03,1,111,Sell,15
2022-01-03,4,111,Buy,18
2022-01-03,5,113,Buy,10
2022-01-03,1,112,Sell,10
2022-01-03,5,113,Sell,19
2022-01-03,4,112,Sell,24
2022-01-03,4,112,Buy,25
2022-01-03,2,112,Buy,20
2022-01-03,3,112,Buy,17
2022-01-03,4,111,Buy,11
2022-01-03,3,113,Sell,18
2022-01-03,3,114,Buy,14
2022-01-03,4,114,Sell,23
2022-01-03,5,113,Sell,17
2022-01-03,1,113,Buy,24
2022-01-03,1,111,Buy,28
2022-01-03,2,111,Sell,16
2022-01-03,1,112,Sell,11
2022-01-03,2,114,Sell,11
2022-01-03,5,112,Buy,27
2022-01-03,5,113,Buy,15
2022-01-03,2,114,Sell,28
2022-01-03,4,111,Buy,23
2022-01-03,3,113,Sell,19
2022-01-03,4,111,Sell,16
2022-01-03,5,112,Sell,19
2022-01-03,3,113,Buy,16
2022-01-03,3,115,Sell,25
2022-01-03,4,112,Sell,27
2022-01-03,1,114,Buy,29
2022-01-03,2,114,Buy,20
2022-01-03,5,113,Buy,18
2022-01-03,2,112,Buy,21
2022-01-03,4,114,Buy,20
2022-01-03,3,114,Buy,14
2022-01-03,2,111,Sell,29
2022-01-03,1,114,Buy,26
2022-01-03,2,112,Buy,30
2022-01-03,3,115,Sell,13
2022-01-03,3,113,Sell,14
2022-01-03,4,112,Buy,29
2022-01-03,2,111,Buy,14
2022-01-03,2,113,Sell,23
2022-01-03,1,113,Sell,30
2022-01-03,2,113,Buy,17
2022-01-03,2,112,Sell,30
2022-01-03,3,114,Sell,19
2022-01-03,2,111,Sell,12
2022-01-03,1,115,Sell,21
2022-01-03,5,115,Buy,25
2022-01-03,3,111,Buy,22
2022-01-03,5,115,Buy,26
2022-01-03,4,111,Buy,26
2022-01-03,4,111,Buy,28
2022-01-03,2,112,Sell,27
2022-01-03,4,115,Buy,24
2022-01-03,1,112,Buy,13
2022-01-03,2,114,Sell,26
2022-01-03,4,115,Sell,26
2022-01-03,4,113,Sell,17
2022-01-03,2,112,Buy,29
2022-01-03,5,111,Buy,23
2022-01-03,4,114,Buy,28
2022-01-03,3,113,Buy,17
2022-01-03,3,111,Buy,10
2022-01-03,4,111,Sell,14
2022-01-03,2,115,Buy,19
2022-01-03,2,111,Sell,30
2022-01-03,5,113,Sell,20
2022-01-03,4,111,Buy,12
2022-01-03,5,111,Buy,21
2022-01-03,2,112,Buy,27
2022-01-03,1,113,Buy,27
2022-01-03,3,111,Sell,26
2022-01-03,3,115,Buy,19
2022-01-03,4,112,Sell,11
2022-01-03,5,111,Buy,23
2022-01-03,2,111,Sell,27
2022-01-03,2,115,Buy,28
2022-01-03,3,114,Sell,29
2022-01-03,5,113,Sell,26
2022-01-03,5,113,Sell,24
2022-01-03,4,112,Buy,18
2022-01-03,3,113,Sell,22
2022-01-03,4,111,Sell,13
2022-01-03,1,112,Sell,28
2022-01-03,2,111,Sell,23
2022-01-03,2,112,Buy,12
2022-01-03,4,113,Buy,23
2022-01-03,4,111,Sell,21
2022-01-03,4,113,Buy,25
